,Station,Northing,Gravity
21,4787,235315.539,3880.303
22,4788,235463.989,3868.395
23,4789,235644.061,3842.341
24,4790,236506.967,3827.592
25,4791,236992.455,3803.481
26,4792,237934.988,3817.069
27,4793,238027.93,3849.643
28,4794,237746.792,3870.684
29,4795,241927.566,3834.259
30,4796,241295.637,3833.787
31,4797,240493.285,3834.184
32,4798,239524.133,3832.765
33,4799,238547.603,3834.445
34,4800,237634.998,3835.144
35,4801,236956.404,3833.27
36,4802,236007.74,3831.634
37,4803,236088.593,3832.786
38,4804,236263.092,3836.589
39,4805,235305.295,3839.378
40,4806,234358.423,3837.497
41,4807,233409.516,3846.915
42,4808,232422.976,3851.348
43,4809,231940.464,3855.332
44,4810,230981.57,3860.112
45,4811,230970.544,3859.21
46,4812,230270.476,3866.463
47,4813,229461.784,3890.122
48,4814,229288.245,3907.697
49,4815,228718.865,3917.249
50,4816,228060.085,3921.937
51,4817,227242.746,3928.512
52,4818,226249.598,3931.85
53,4819,225256.319,3930.932
54,4820,224277.751,3928.896
55,4821,223276.902,3929.934
56,4822,194998.728,3968.052
57,4823,194160.466,3969.862
58,4824,193212.068,3972.29
59,4825,192248.053,3974.306
60,4826,191252.074,3976.676
61,4827,190267.182,3978.786
62,4828,189257.628,3980.968
63,4829,188276.67,3982.303
64,4830,187283.114,3984.59
65,4831,186259.704,3986.42
66,4832,186533.795,3986.692
67,4833,187058.911,3986.67
68,4834,187325.452,3984.595
69,4835,187590.35,3984.748
70,4836,187815.366,3984.635
71,4837,187974.009,3986.945
72,4838,187959.148,3988.414
73,4839,188051.189,3992.489
74,4840,187731.932,3993.691
75,4841,187253.712,3993.961
76,4842,187503.976,3989.211
77,4843,187268.562,3986.566
78,4844,186400.096,3988.568
79,4845,185425.311,3989.969
80,4846,184443.951,3991.878
81,4847,183461.15,3992.687
82,4848,182475.898,3993.056
150,4916,197906.973,3974.477949
151,4917,197332.24,3971.032574
152,4918,196473.129,3967.205544
153,4919,195686.349,3969.039313
154,4920,194709.312,3971.350951
155,4921,193781.934,3973.978618
156,4922,192874.87,3974.188249
157,4923,191964.298,3973.303949
158,4924,190975.085,3972.596666
159,4925,189976.27,3971.84936
160,4926,189016.873,3971.59394
161,4927,188056.831,3972.536494
162,4928,187082.296,3972.62106
163,4929,186587.709,3972.975774
164,4930,186201.811,3971.783367
165,4931,185642.837,3970.70899
166,4932,186055.28,3971.829601
167,4933,186761.367,3972.110248
168,4934,187549.611,3971.2008
194,4960,187809.061,4002.685355
195,4961,187021.38,4003.266675
196,4962,186239.384,4002.97287
197,4963,185570.283,4005.071085
198,4964,184551.18,4006.199295
199,4965,183737.693,4007.386693
200,4966,183285.422,4009.100869
201,4967,184047.358,4009.433144
202,4968,185021.115,4008.475337
203,4969,185994.559,4007.609591
204,4970,201292.231,3981.474935
205,4971,200390.952,3983.001194
206,4972,199503.997,3980.863507
207,4973,198516.502,3980.912696
208,4974,197675.323,3984.628202
209,4975,197117.366,3988.107533
210,4976,196588.679,3993.760879
211,4977,195791.518,3995.860191
212,4978,194796.29,3997.675521
213,4979,193793.177,3999.688877
214,4980,192789.754,4000.115197
215,4981,191824.923,3999.842541
216,4982,190908.747,4004.318095
217,4983,189928.63,4004.697436
218,4984,188982.504,4005.222741
219,4985,188033.183,4004.661069
